2024-04- 29 14:27:41: ; Temperatura do LIDAR: 55.00C
2024-04- 29 14:28:41: ; Temperatura interna central: 46.90C
2024-04- 29 14:28:41: ; Temperatura do LIDAR: 54.50C
2024-04- 29 14:29:41: ; Temperatura interna central: 46.60C
2024-04- 29 14:29:41: ; Temperatura do LIDAR: 55.00C
2024-04- 29 14:30:41: ; Temperatura interna central: 46.60C
2024-04- 29 14:30:41: ; Temperatura do LIDAR: 55.00C
2024-04- 29 14:31:41: ; Temperatura interna central: 46.70C
2024-04- 29 14:31:41: ; Temperatura do LIDAR: 55.25C
2024-04- 29 14:32:41: ; Temperatura interna central: 46.70C
2024-04- 29 14:32:41: ; Temperatura do LIDAR: 54.75C
2024-04- 29 14:33:59: ; Temperatura interna central: 46.70C
2024-04- 29 14:33:59: ; Temperatura do LIDAR: 55.50C
2024-04- 29 14:34:59: ; Temperatura interna central: 46.80C
2024-04- 29 14:34:59: ; Temperatura do LIDAR: 55.50C
2024-04- 29 14:35:59: ; Temperatura interna central: 46.90C
2024-04- 29 14:35:59: ; Temperatura do LIDAR: 55.25C
2024-04- 29 14:36:59: ; Temperatura interna central: 46.70C
2024-04- 29 14:36:59: ; Temperatura do LIDAR: 53.75C
2024-04- 29 14:37:59: ; Temperatura interna central: 46.50C
2024-04- 29 14:37:59: ; Temperatura do LIDAR: 53.75C
2024-04- 29 14:38:59: ; Temperatura interna central: 46.00C
2024-04- 29 14:38:59: ; Temperatura do LIDAR: 53.25C
2024-04- 29 14:39:59: ; Temperatura interna central: 45.40C
2024-04- 29 14:39:59: ; Temperatura do LIDAR: 52.25C
2024-04- 29 14:40:59: ; Temperatura interna central: 44.60C
2024-04- 29 14:40:59: ; Temperatura do LIDAR: 51.75C
2024-04- 29 14:42:00: ; Temperatura interna central: 44.10C
2024-04- 29 14:42:00: ; Temperatura do LIDAR: 51.75C
2024-04- 29 14:43:00: ; Temperatura interna central: 43.80C
2024-04- 29 14:43:00: ; Temperatura do LIDAR: 52.50C
2024-04- 29 14:44:00: ; Temperatura interna central: 43.80C
2024-04- 29 14:44:00: ; Temperatura do LIDAR: 53.00C
2024-04- 29 14:45:00: ; Temperatura interna central: 43.90C
2024-04- 29 14:45:00: ; Temperatura do LIDAR: 53.25C
2024-04- 29 14:46:00: ; Temperatura interna central: 44.20C
2024-04- 29 14:46:00: ; Temperatura do LIDAR: 53.75C
2024-04- 29 14:47:00: ; Temperatura interna central: 44.70C
2024-04- 29 14:47:00: ; Temperatura do LIDAR: 54.25C
2024-04- 29 14:48:00: ; Temperatura interna central: 45.00C
2024-04- 29 14:48:00: ; Temperatura do LIDAR: 54.00C
2024-04- 29 14:49:00: ; Temperatura interna central: 45.30C
2024-04- 29 14:49:00: ; Temperatura do LIDAR: 54.50C
2024-04- 29 14:50:00: ; Temperatura interna central: 45.70C
2024-04- 29 14:50:00: ; Temperatura do LIDAR: 54.75C
2024-04- 29 14:51:00: ; Temperatura interna central: 46.00C
2024-04- 29 14:51:00: ; Temperatura do LIDAR: 55.00C
2024-04- 29 14:52:00: ; Temperatura interna central: 46.30C
2024-04- 29 14:52:00: ; Temperatura do LIDAR: 55.75C
2024-04- 29 14:53:00: ; Temperatura interna central: 46.30C
2024-04- 29 14:53:00: ; Temperatura do LIDAR: 55.50C
2024-04- 29 14:54:00: ; Temperatura interna central: 46.30C
2024-04- 29 14:54:00: ; Temperatura do LIDAR: 56.00C
2024-04- 29 14:55:00: ; Temperatura interna central: 46.20C
2024-04- 29 14:55:00: ; Temperatura do LIDAR: 56.00C
2024-04- 29 14:56:00: ; Temperatura interna central: 46.20C
2024-04- 29 14:56:00: ; Temperatura do LIDAR: 56.25C
2024-04- 29 14:57:00: ; Temperatura interna central: 46.30C
2024-04- 29 14:57:00: ; Temperatura do LIDAR: 56.00C
2024-04- 29 14:58:00: ; Temperatura interna central: 46.20C
2024-04- 29 14:58:00: ; Temperatura do LIDAR: 55.50C
2024-04- 29 14:59:00: ; Temperatura interna central: 45.90C
2024-04- 29 14:59:00: ; Temperatura do LIDAR: 56.25C
2024-04- 29 15:00:00: ; Temperatura interna central: 46.10C
2024-04- 29 15:00:00: ; Temperatura do LIDAR: 56.25C
2024-04- 29 15:01:00: ; Temperatura interna central: 46.10C
2024-04- 29 15:01:00: ; Temperatura do LIDAR: 55.75C
2024-04- 29 15:02:00: ; Temperatura interna central: 46.10C
2024-04- 29 15:02:00: ; Temperatura do LIDAR: 55.75C
2024-04- 29 15:03:00: ; Temperatura interna central: 45.90C
