
2024-04- 29 13:56:47: ; Temperatura interna central: 41.40C
2024-04- 29 13:56:47: ; Temperatura interna lateral: 32.90C
2024-04- 29 13:56:47: ; Temperatura do chassi: 37.75C
2024-04- 29 13:56:47: ; Temperatura do LIDAR: 51.00C
2024-04- 29 13:57:47: ; Temperatura interna central: 41.40C
2024-04- 29 13:57:47: ; Temperatura interna lateral: 33.60C
2024-04- 29 13:57:47: ; Temperatura do chassi: 38.50C
2024-04- 29 13:57:47: ; Temperatura do LIDAR: 52.25C
2024-04- 29 13:58:47: ; Temperatura interna central: 41.70C
2024-04- 29 13:58:47: ; Temperatura interna lateral: 34.00C
2024-04- 29 13:58:47: ; Temperatura do chassi: 39.25C
2024-04- 29 13:58:47: ; Temperatura do LIDAR: 51.25C
2024-04- 29 13:59:47: ; Temperatura interna central: 42.20C
2024-04- 29 13:59:47: ; Temperatura interna lateral: 34.40C
2024-04- 29 13:59:47: ; Temperatura do chassi: 39.50C
2024-04- 29 13:59:47: ; Temperatura do LIDAR: 52.75C
2024-04- 29 14:00:47: ; Temperatura interna central: 42.60C
2024-04- 29 14:00:47: ; Temperatura interna lateral: 34.10C
2024-04- 29 14:00:47: ; Temperatura do chassi: 39.75C
2024-04- 29 14:00:47: ; Temperatura do LIDAR: 55.25C
2024-04- 29 14:01:47: ; Temperatura interna central: 43.00C
2024-04- 29 14:01:47: ; Temperatura interna lateral: 34.50C
2024-04- 29 14:01:47: ; Temperatura do chassi: 40.50C
2024-04- 29 14:01:47: ; Temperatura do LIDAR: 56.75C
2024-04- 29 14:02:47: ; Temperatura interna central: 43.50C
2024-04- 29 14:02:47: ; Temperatura interna lateral: 35.30C
2024-04- 29 14:02:47: ; Temperatura do chassi: 40.75C
2024-04- 29 14:02:47: ; Temperatura do LIDAR: 53.50C
2024-04- 29 14:03:47: ; Temperatura interna central: 43.90C
2024-04- 29 14:03:47: ; Temperatura interna lateral: 35.40C
2024-04- 29 14:03:47: ; Temperatura do chassi: 40.25C
2024-04- 29 14:03:47: ; Temperatura do LIDAR: 53.75C
2024-04- 29 14:04:47: ; Temperatura interna central: 44.20C
2024-04- 29 14:04:47: ; Temperatura interna lateral: 35.00C
2024-04- 29 14:04:47: ; Temperatura do chassi: 40.00C
2024-04- 29 14:04:47: ; Temperatura do LIDAR: 52.75C
2024-04- 29 14:05:47: ; Temperatura interna central: 44.20C
2024-04- 29 14:05:47: ; Temperatura interna lateral: 34.20C
2024-04- 29 14:05:47: ; Temperatura do chassi: 40.00C
2024-04- 29 14:05:47: ; Temperatura do LIDAR: 53.75C
2024-04- 29 14:06:47: ; Temperatura interna central: 44.00C
2024-04- 29 14:06:47: ; Temperatura interna lateral: 33.80C
2024-04- 29 14:06:47: ; Temperatura do chassi: 39.50C
2024-04- 29 14:06:47: ; Temperatura do LIDAR: 52.75C
2024-04- 29 14:07:47: ; Temperatura interna central: 44.00C
2024-04- 29 14:07:48: ; Temperatura interna lateral: 33.90C
2024-04- 29 14:07:48: ; Temperatura do chassi: 39.25C
2024-04- 29 14:07:48: ; Temperatura do LIDAR: 54.25C
2024-04- 29 14:08:48: ; Temperatura interna central: 44.10C
2024-04- 29 14:08:48: ; Temperatura interna lateral: 34.10C
2024-04- 29 14:08:48: ; Temperatura do chassi: 39.75C
2024-04- 29 14:08:48: ; Temperatura do LIDAR: 56.00C
