2024-04- 25 11:33:51: ; Temperatura do LIDAR: 44.25C
2024-04- 25 11:34:51: ; Temperatura interna central: 34.80C
2024-04- 25 11:34:51: ; Temperatura do LIDAR: 44.50C
2024-04- 25 11:35:51: ; Temperatura interna central: 34.80C
2024-04- 25 11:35:51: ; Temperatura do LIDAR: 44.50C
2024-04- 25 11:36:51: ; Temperatura interna central: 34.80C
2024-04- 25 11:36:51: ; Temperatura do LIDAR: 44.25C
2024-04- 25 11:37:51: ; Temperatura interna central: 34.80C
2024-04- 25 11:37:51: ; Temperatura do LIDAR: 44.75C
2024-04- 25 11:38:51: ; Temperatura interna central: 34.80C
2024-04- 25 11:38:51: ; Temperatura do LIDAR: 44.75C
2024-04- 25 11:39:51: ; Temperatura interna central: 34.90C
2024-04- 25 11:39:51: ; Temperatura do LIDAR: 44.25C
2024-04- 25 11:40:51: ; Temperatura interna central: 34.90C
2024-04- 25 11:40:51: ; Temperatura do LIDAR: 45.00C
2024-04- 25 11:41:51: ; Temperatura interna central: 35.00C
2024-04- 25 11:41:51: ; Temperatura do LIDAR: 44.75C
2024-04- 25 11:42:51: ; Temperatura interna central: 35.00C
2024-04- 25 11:42:51: ; Temperatura do LIDAR: 44.50C
2024-04- 25 11:43:51: ; Temperatura interna central: 35.00C
2024-04- 25 11:43:51: ; Temperatura do LIDAR: 45.00C
2024-04- 25 11:44:51: ; Temperatura interna central: 35.00C
2024-04- 25 11:44:51: ; Temperatura do LIDAR: 44.25C
2024-04- 25 11:45:51: ; Temperatura interna central: 35.00C
2024-04- 25 11:45:51: ; Temperatura do LIDAR: 44.25C
2024-04- 25 11:46:51: ; Temperatura interna central: 35.00C
2024-04- 25 11:46:51: ; Temperatura do LIDAR: 44.75C
2024-04- 25 11:47:51: ; Temperatura interna central: 35.00C
2024-04- 25 11:47:51: ; Temperatura do LIDAR: 44.50C
2024-04- 25 11:48:51: ; Temperatura interna central: 35.00C
2024-04- 25 11:48:51: ; Temperatura do LIDAR: 45.00C
2024-04- 25 11:49:51: ; Temperatura interna central: 35.20C
2024-04- 25 11:49:51: ; Temperatura do LIDAR: 44.75C
2024-04- 25 11:50:51: ; Temperatura interna central: 35.40C
2024-04- 25 11:50:51: ; Temperatura do LIDAR: 44.75C
2024-04- 25 11:51:51: ; Temperatura interna central: 35.50C
2024-04- 25 11:51:51: ; Temperatura do LIDAR: 45.25C
2024-04- 25 11:52:51: ; Temperatura interna central: 35.50C
2024-04- 25 11:52:51: ; Temperatura do LIDAR: 45.25C
2024-04- 25 11:53:51: ; Temperatura interna central: 35.50C
2024-04- 25 11:53:51: ; Temperatura do LIDAR: 45.00C
2024-04- 25 11:54:51: ; Temperatura interna central: 35.40C
2024-04- 25 11:54:51: ; Temperatura do LIDAR: 44.75C
2024-04- 25 11:55:51: ; Temperatura interna central: 35.30C
2024-04- 25 11:55:51: ; Temperatura do LIDAR: 45.00C
2024-04- 25 11:56:51: ; Temperatura interna central: 35.30C
2024-04- 25 11:56:51: ; Temperatura do LIDAR: 44.75C
2024-04- 25 11:57:51: ; Temperatura interna central: 35.40C
2024-04- 25 11:57:51: ; Temperatura do LIDAR: 45.00C
2024-04- 25 11:58:51: ; Temperatura interna central: 35.40C
2024-04- 25 11:58:51: ; Temperatura do LIDAR: 45.00C
2024-04- 25 11:59:51: ; Temperatura interna central: 35.40C
2024-04- 25 11:59:51: ; Temperatura do LIDAR: 44.75C
2024-04- 25 12:00:51: ; Temperatura interna central: 35.40C
2024-04- 25 12:00:51: ; Temperatura do LIDAR: 44.50C
2024-04- 25 12:01:51: ; Temperatura interna central: 35.30C
2024-04- 25 12:01:51: ; Temperatura do LIDAR: 44.75C
2024-04- 25 12:02:51: ; Temperatura interna central: 35.20C
2024-04- 25 12:02:51: ; Temperatura do LIDAR: 44.00C
2024-04- 25 12:03:51: ; Temperatura interna central: 35.20C
2024-04- 25 12:03:51: ; Temperatura do LIDAR: 44.50C
2024-04- 25 12:04:51: ; Temperatura interna central: 35.30C
2024-04- 25 12:04:51: ; Temperatura do LIDAR: 44.25C
2024-04- 25 12:05:51: ; Temperatura interna central: 35.20C
2024-04- 25 12:05:51: ; Temperatura do LIDAR: 43.50C
2024-04- 25 12:06:51: ; Temperatura interna central: 35.10C
2024-04- 25 12:06:51: ; Temperatura do LIDAR: 44.25C
2024-04- 25 12:07:52: ; Temperatura interna central: 35.10C
2024-04- 25 12:07:52: ; Temperatura do LIDAR: 44.25C
2024-04- 25 12:08:52: ; Temperatura interna central: 35.10C
2024-04- 25 12:08:52: ; Temperatura do LIDAR: 44.75C
2024-04- 25 12:09:52: ; Temperatura interna central: 35.20C
2024-04- 25 12:09:52: ; Temperatura do LIDAR: 44.50C
2024-04- 25 12:10:52: ; Temperatura interna central: 35.20C
2024-04- 25 12:10:52: ; Temperatura do LIDAR: 44.50C
2024-04- 25 12:11:52: ; Temperatura interna central: 35.20C
